Paradigms,JudgingType
"Generally looking for speaker/participants broader understanding of the topic and belief in the argument being presented.  Secondly, attentiveness to the opponents arguments, display the understanding and specifically counter those.  ",1
"I'm a former World Schools debater for Team Canada, currently an APDA and BP debater. I will prioritize well-warranted arguments over evidence, especially if such evidence does not actually support the logical conclusions teams are claiming they do (which is often the case). I also find theory annoying. Generally fine with most speaking speeds, but don't do anything outrageously fast. ",1
"Hi there! My name is Andrew, and I'm a current college senior. While in high school, I competed in Lincoln Douglas and Public Forum debate for Regis, but I haven't continued with debate since then (besides judging to help out my school when needed). When I debated, my partner and I were considered staunchly ""traditional"": We argued the resolution as it was written, spoke slowly, and engaged with our opponents' arguments directly. That's definitely the style of debate I prefer — that said, I understand that that's not necessarily the trajectory of the activity these days, and my experience in LD means I'll probably understand whatever you throw my direction. If you have any more specific questions, just ask me before the round! ",2
"I'm a flow judge and have debated 4 years of PF at Trinity School. Went to TOC '21. Defense is not sticky - if you want defense to flow through, you need to extend it in every speech. That said, if first summary extends defense that wasn't frontlined in second rebuttal, second summary is too late to bring up a new frontline. Screaming ""Smith 16"" is not an extension. If you want me to vote on something, you need to extend the warranting as well as the evidence. I don't flow cross - if something important is said during cross, make sure to bring it up in a later speech.  Talk as fast as you want as long as you're clear (but I find that when people talk fast, their warranting suffers; I will not vote off blippy warranting). No theory unless you actually, genuinely care about the issue (see TOC finals 2021 for a good example). Bonus points for any jokes made during speeches :) ",3
"Hey! The most important thing to know if you're going to be debating in my room is how much I value fair and thorough engagements! This looks like making concessions where necessary (when the arguments have been properly analyzed and are logical) and engaging in fair and charitable comparisons. Next up, don't be rude! Please respect your opponents. Thirdly, I am fully cognizant of the fact that speakers have a lot of material to cover in such a small time, but please make sure you don't excessively speed through those arguments! Speak fast, but don't zoom through your speech! Calm down and speak clearly so your opponents and I understand you. Finally, always be conscious of your burdens in the debate and do justice to them. Do not merely assert, justify those claims. Role fulfillment is a must-do! Good luck! ",1
"I'm a new parent/lay judge. Please do not spread. Speak slowly, focusing on clarity and quality of argument over quantity. Signpost when possible, and keep your delivery organized and oriented toward a first-time listener. Support assertions with evidence, taking care to place it in context and explain the relevance. Beyond making your case, please respond directly to your opponent's arguments. Highlight areas of contrast and points you believe are particularly favorable to your cause. Finally, present a clear summation of key points made (and not made), and why your side should prevail. ",1
"I have coached debate since 1971, beginning at Manchester (now Manchester Essex) from 1971-2005, and now at Waring School since 2005. I have coached national champions in both policy debate and public forum debate, so I can flow a debate. I am a ""tabula rasa"" judge, meaning that I believe that the debaters (and not my personal opinions or delivery preferences) will determine what issues and arguments should win the debate. I grew up in Kansas and debated for Topeka West High School (1962-65), where all judges were citizens of the host community. All of our debate was conducted in front of ""citizen judges."" That's what I believe is most important in PFD. The event was designed so that it would be persuasive to an intelligent and attentive member of the ""public."" For that reason, I feel that the delivery, argumentation, and ethos of the debaters should be directly accessible to such an audience. I do agree that dropped arguments are conceded in the debate and that NEW arguments in the final speeches should be ignored. I love it when debaters are directly responsive to the arguments of the other side, letting me know on a point by point basis where they are on the flow. I also honor those debaters who show courtesy to their opponents, who have a sense of humor, and who tell the truth about what they have said. I expect that all evidence will be ethically researched and presented in the debate. I will penalize (with points) any debaters who are sarcastic, demeaning of opponents, or biased in terms of race, religion, sexual orientation, or social class. I will always be happy to talk with you about any decision I make as well as to show you my flow and explain how I assessed the debate. I will do this AFTER I have submitted my ballot. In recent years, I have been spending more of my time in tab rooms than judging, but I truly enjoy the time I can spend in the back of the room. In these trying times, you debaters are our hope for the future, naming FACT-BASED arguments about important issues. Tim Averill (timaverill@comcast.net) 978-578-0540 ",2
"In judging public debates, I prioritize argumentation that has a solid reasoning in terms of answering the burden to proof of the assertion that is claimed. I weigh out the argument based on how it can persuade me through the comprehensiveness of the logical reasoning.  ",1
"I am a lay parent judge with no recent debate judging experience. Please be organized in your presentation -- I like solid arguments articulated clearly. Please don't talk too fast, mumble, speak softly, or do anything that would make it harder for me to follow -- give me a clear way to vote for you. I may ask for cards at the end. Be civil: if you use foul language, you will automatically get a 25 in Speaker Points. Be considerate: If you ask a question in crossfire, please allow your opponents to answer your questions. I need to hear two sides - it wouldn't be a debate otherwise. I look forward to hearing all of your presentations -- have fun! ",1
"I am a cardiologist in the Washington, DC area and I have no background in debate. I am a parent judge. I keep notes however I do not have any background on weird topics, nor do I know debate jargon. Please do not spread. Please speak at a normal pace. No yelling, basically just a conversational tone, if you don't your speaks will reflect this I will try not to vote off of cross but if you can’t defend case in cross/generally are not doing well in cross I will take off speaker points. I prefer off time road maps and please stick to them. If you don't I'll probably be confused. Be respectful to your opponents at all times. Let your opponents talk in cross please! Keep your arguments generally socially acceptable.  ",1
"BACKGROUND: I am a freshman at Harvard College who competed for Regis High School with moderate success (some bids, a lot of elims) in PF (and very infrequently in LD and Parli) for four years on the National Circuit. My email is tbarone@college.harvard.edu, but I value the integrity of my inbox and have no plans of looking at evidence unless told to, so I would rather not be on the email chain. CURRENT PARADIGM: I used to believe many of the things below, but I now tend to think that paradigms are dumb and advance a notion of debate that is overly restrictive and inaccessible to those with less experience/fewer resources. Feel free to read my former paradigm included below to understand how I used to think about debate, but honestly just debate how you debate, be kind, be honest, be clear, try to engage with one another in a way that is educational, and try not to do anything that I would likely view as excessively progressive, technical, or inaccessible based on the stuff below and the fact that my understanding of debate remains normed to what this activity looked like when I was introduced to it roughly 5 years ago. Also, please keep in mind that I don't do high school debate anymore (obviously), so my knowledge of the topic will usually be that of a reasonably well-read person and not much beyond + my ability to comprehend speed (especially if you don't enunciate!) is not what it once was. ______ FORMER PARADIGM: TLDR: I want a civil, unmuddled, honest, inoffensive, and accessible round with substantive weighing, persuasive warranting, and sufficient empirics to bear out the argumentation. Make your best effort to follow through on that wish and you're in good shape (but don't feel compelled to abandon your style in so doing; I will adapt as best I can)! Basic judging philosophy: I view flow norms of debate as useful and ascribe to them only insofar as they are most paradigmatically conducive to rigorous analysis and thorough argumentative engagement. Debate in whatever fashion you believe best meets those two criteria, but I believe that a warrant-focused debate with lots of good comparative analysis and an overarching narrative does so most effectively (and does not require superfluous speed or overuse of jargon). Long, non-exhaustive, and entirely unstructured set of preferences: Warrant warrant warrant. I couldn't care less about your evidence if it's not warranted. Tell me to call evidence and I will; misconstrue it and you're getting horrible speaks. Spewing debate jargon isn't a rhetorical technique. If it's misused or excessive it's reductive to the intellectual level of the round and it will guarantee you bad speaks. Weigh early, often, and in a way that interacts with your opponent's weighing. Saying buzz words like ""scope"" or ""magnitude"" isn't really compelling if I don't know how your arguments actually interact. Collapse on your best offense and build a coherent narrative that adequately frontlines major responses. Beyond being poor strategy that massively dilutes your weighing (I'm not going to think multiple pieces of offense important!), I think it's borderline abusive and torpedoes the overall quality of the round because it creates a super reductive burden on the other side to extend and implicate adequate responses for 2+ arguments. It's fine to read a lot of responses in rebuttal, but if they're not sufficiently explained/implicated or warrantless, I'm going to have trouble evaluating them even if they make it to the end of the round. In final focus and summary, try to collapse on just a few responses and implicate them well. I'm truly fine flowing fairly fast PF speech, but I will be very annoyed if you don't enunciate and signpost well in so doing. If you're going to run a turn, please implicate the overall effect thereof. So many people read a ""turn"" that actually just recognizes one negative effect of something and concludes that it must therefore be net negative. Effects are almost always multidirectional, so, unless you're implicating why something is net your way, I'm probably going to presume that the net effect is whatever the original offense was, or I'll at least avoid voting on the issue. Regardless, unless the turn is well weighed and impacted, I'm really not inclined to vote for it. In second rebuttal, ideally frontline everything you're going to go for in the back-half speeches. I think it's problematic to only respond to turns in second rebuttal because that leaves first final focus responding anew, which I think creates an unfavorable time skew. I understand this puts pressure on second rebuttal, but you can deal with that by collapsing early (which I would actually appreciate regardless--it makes the weighing nicer). That being said, I won't regard defense as conceded if not frontlined in second rebuttal, I'll probably just dock speaks (note: turns DO need to be frontlined in second rebuttal). Both summaries need to have defense, offense, and weighing (definitely with a focus on the latter two). If you read off of your computer for the entire round from prewritten text, you're getting very low speaks because that isn't what debate is. If you say something was conceded, it better be conceded. Probably my biggest pet peeve in debate is when people say a very clearly responded-to argument was dropped, and I will definitely drop speaks substantially for doing so. You will lose the round with awful speaks if you run arguments that are inaccessible or argue in an inaccessible way (theory, Ks, spreading, anything from LD/policy). The only theory I'd even consider evaluating would be in response to a genuinely very abusive in-round strategy (examples include: spreading, second rebuttal disads, absurd response dumping, turn dumping). I will be so mad if your style of argumentation is about muddling up the round with high volumes of non-responsive information. I am the weakest possible version of tech over truth. The only time I'll vote on a flagrantly untrue argument is if it's totally conceded. While I think good critical-thinkers should always be able to deal with outrageous arguments, running them wastes a team's time, throws them off, and is rarely intellectually honest. If you run disads, I literally might just not evaluate them because I think they're so abusive (in second rebuttal, I absolutely won't). If you run a disad and call it a turn, I'll be furious (an M4A example: neg differential pricing is not a turn on aff access). In general, I tend to think that a super turn-heavy strategy by the first-speaking team fringes on abusive and is really reductive to the intellectual quality of the round, so, while I won't intervene because of it, I will a) have a lower standard for how much frontlining needs to be done in second rebuttal and b) have a higher standard for the quality of the extension/weighing of the turn. ",2
"I debated in high school LD and PF and am a college Parli debater, so I have a good amount of experience. I was a quarter finalist in CA for LD and the highest ranked debater in my league (if that matters).  LD is first and foremost a value debate. Be sure to keep that in mind. - Be cordial to each other. There is no reason to be rude to your fellow competitors. - Time yourselves and each other, please. - I am fine with speed, but I do not like spreading. - Sign posting is extremely important to me. - It’s extremely important that you show a good understanding of the topic and you are not simply throwing out arguments that you think fit and reiterating them. - While I am more of a traditional judge, I am open to progressive debate (K, T, Theory, ect.) but give substantial explanation. - I love clash. Be sure to actually respond to your opponents arguments rather than just say they don't matter. ",2
"Hi, I'm Alisha!! (she/her) Email me before the round: abhattsmith23@concordcarlisle.org for any questions or concerns on my paradigm or anything I can do to make the round more comfortable/safe. Overall (everyone must do this) Be nice to your partner and opponents. (no racism homophobia etc) You will be dropped if I see this happening. Ask your opponents before running progressive arguments (theory, k’s, etc) (unless it's trigger/content warnings then go for it) If you think there should be a content warning, there should be one with an anonymous opt-out form for everybody in the round. If you are a novice: You rock! Debate can seem daunting at first. Just remember we are all here to learn from one another so please don’t be stressed and try to have some fun :))) If at any point during the round you are confused about speech times, cross times, or prep time, ask me. Weighing the easiest way you can win my ballot. Make sure, however, you are doing this comparatively. I don’t vote off of your crossfires. That doesn’t mean I’m not paying attention. If you have something to say about a crossfire, make sure you are bringing it up in a later speech so it goes on my flow. Collapse! I (and many other judges) do not evaluate rounds by counting how many things you bring up about the round. It simply is not a good use of your time. Pick your strongest arguments and extend the warrant and impact. Longer version here: Paradigm ",2
"Flow judge. Stating something that contradicts what your opponents have said isn't debating; it's disagreeing. AKA implicate your responses and don't repeatedly extend through ink. I look for the path of least resistance when I'm deciding a round. If you misrepresent evidence, I will drop you. Theory: Generally, I don't think theory belongs in PF debate. I think PF is unique in the sense that accessibility is an integral part of the activity and in my opinion the speed at which debaters often have to speak and the evidence read in order to run theory shells are simply not accessible to the public at large. That being said, I understand the value of theory with respect to protecting competitors from abuses in round and out of respect for all debaters and arguments alike I will listen and flow theory and evaluate it in the round. I've even voted for a team who ran it once. All I'll say is the only thing worse than running theory is doing it badly. If you don't know what you're doing and you don't actually have a deep understanding of the theory that you're running and how it operates within a debate round, I wouldn't recommend that you run it in front of me. Lastly, if you're going to run theory you should know that I really value upholding the standard that you run in and out of rounds and across all topics. Experience: Debated in PF during all four years of HS for Bronx Science, dabbled in Policy for a year at Emory. Judged various forms of debate since 2013. ",2
"Last updated on 1/25/22. Please be on time for check-in. Email: Gracenicoleb@gmail.com She/her Background Policy debate at Samford University (class of 24). General points - Please emphasize your contingencies and impacts clearly. With online debate, clarity is key - a lot of technology leaves failure points where I may miss something. - I prefer clear, slow speaking over fast, unintelligible speaking. I will be more likely to vote for the team that carefully explained their arguments over a team that gives more evidence but neglects warrants. - I prefer you to have organized docs, with both numbered arguments and labeled arguments (Ex. 1. Turn, 2. No impact, etc.). - I'm big on framework debate, so please don't neglect that area. Tell me how I should judge, my role as a judge, and what I should be judging on. I lean heavily towards Util. If you only present your framework and do not tell me why I should prefer it, I will just use my personal opinion and pick one. - Be really precise on weighting (magnitude, probability, time-frame, etc.) and carrying evidence all the way through the round. - I don't mind a slightly hostile round but remember to represent your school well. I will, however, NOT tolerate racist, sexist, homophobic, etc. remarks or behavior. If this happens, expect an automatic L. Use your best judgment. Also, expect an L if you clip cards. Even if the other team does not point it out if I notice you are clearly clipping --> L. It's my job to uphold good standards for debate. - Cursing: I don't care if you curse and I don't doc speaker points for it (as long as you don't do it excessively)- I'm going to treat you like an adult. DO NOT, however, direct it at another debater. Be competitive, not rude. - Please, for the love of God, do not make me keep up with the structure of the round. Time your speeches, stop when the timer goes off, keep track of your prep-time, be clear when you're taking prep-time, and so on. I understand being a novice and sometimes this means you forget things, but doing this throughout the round will cause your speaker points to drop. - Disclosure: Debaters should disclose. I am fine with disclosure arguments. - I do not judge kick automatically, but I will if you say it. You should be able to recognize if your cp is trash or not. I'm not going to do the work for you. - Tech > Truth with limits. A dropped argument is assumed to be contingently true unless it is obviously unethical. - I like voting on presumption. Specifically status-quo solves. These types of case debates are always very interesting to me. How I vote Policy  CP I default to sufficiency framing. The Cp's viability as a winning argument is essentially a product of how much it resolves the aff's impacts and magnitude of the NB. Also, if it is not 100% clear on the distinction between the cp and the plan, outline the differences for me. If the CP has no net benefit-- it must solve better than the aff for some reason. If that reason is not outlined clearly for me-- all the 2AR has to say is the cp has no NB and explain why the aff solves better. To me, anything else is a waste of time. DA Be clear on the link level- I really don't want to have to figure it out for you. This means I don't want you to just read cards on why you don't link-- I want an explanation. I will vote for a DA if I think there is a small risk of a link and a significant probability of an impact, however- I will not vote for the DA if I don't feel like there is a significant probability of an impact, even if there is a small risk of a link. That's just what makes the most sense to me. There are downsides to every policy-- it's the burden of the neg to prove why their impacts outweigh. K I heavily lean more towards policy rounds, but I am not opposed to voting for Ks. I will vote for a K if it is specific and interacts with the AFF. I will not vote for generic Ks that are not explained well or lack evidence. Line-by-line is very important for these debates so don't just rely on cards or pre-written blocks. Cap Ks are fine, but I have a pretty high threshold for voting for them. To me, if you're going to go for it, then you should have a good root cause and framework argument. I think those two things control the direction of the debate. Unless told specifically otherwise I assume that life is preferable to death. In order to convince me otherwise, you must prove that a world with no value to life/social death is worse than being biologically dead. Most importantly, if you want me to vote for the K, you must prove how it SOLVES whatever the debate is about. If the K doesn't solve anything, expect an L. I think too often, Ks get away with cheap solvency. T I might not be the best person to judge a super in depth T debate, but I'll do my best. I view topicality through the lens of competing interpretations, but I could possibly be persuaded to vote another way. I'm not super deep in the literature on certain topics, so if you go for T, be very clear, concise, and deliberate. I have a high threshold for voting on topicality so if you are going to go for it, put your all into it. Theory I lean neg on theory. Condo- good and key to neg flex, but it's a debate to be had. I think in order for me to vote on condo, there needs to be something clearly abusive going on in the round, and if you feel like that's the case, explain it thoroughly. These arguments pretty much have to be dropped and clearly flagged as reasons to vote against the other team for me to consider voting on them. Any other theory argument I think is categorically a reason to reject the argument and not the team. Resolution Please read a plan. I don't enjoy plan-less AFFs because oftentimes the thesis gets lost, which is super frustrating. This doesn't mean I won't vote for you, but if you decide to not read a plan just make sure that you thoroughly explain it. PF PLEASE do not drop line by line to summarize your arguments. I'm more likely to vote for the team that interacts with the other teams arguments to accelerate their own. I'm fine with CPs, DAs, plans, etc. if you want to run them. Impact calc is a must and make sure you narrow down your best arguments. It's not beneficial to waste time on insignificant arguments you didn't expand on. If you don't include me on the email chain and a piece of evidence becomes important later, you must explain the warrants of that ev. I will not just accept the extension of a card. LD PLEASE use an email chain with me on it and don't just exchange evidence. I want to read while I'm flowing. Overall though, pretty much the same as PF. However, I don't think K's should be in LD. Not enough time to explain the complexity of a K. Make sure to collapse all your best arguments and go further in-depth on those. Again, not beneficial to go for all your arguments. At that point, you're just skewing your own time which is painful to watch. ",3
"Hi! I debated PF for two years at Durham Academy. In that sense I'm a flow judge, but I also don't have a lot of experience with very progressive arguments/debating, and I see PF as a more lay debate style that should be easily understood and argued using logic and persuasion. I don't have a lot of preferences, although I'm not a huge fan of theory in PF. I tend to vote based on which team makes arguments that hold up the most logically and are extended through the round. Persuade me with both evidence (that is clearly in support of what you're saying) and warrants. I like a lot of organization and signposting in summary and FF, especially having the debate narrowed down to a few voting points + weighing by the FF -- what is the most important issue(s) in this round? Overall, though, debate how you like, I'm not going to vote against you for any one specific thing! I'm okay with speaking on the slightly quicker side as long as it's clear and well-modulated (aka doesn't sound like you're just reading really fast) but slower speech and narrowed-down arguments is almost always better than speaking very quickly to fit in a ton of points. Good luck!! ",2
